facility_name,state,capacity_mw,primary_fuel,year,project_status,stage,latitude,longitude
Caloundra NMI 3117361486,QLD,0.348,Solar,2025,accredited,1,-26.8043999,153.1254643
City of Stirling (Administration Centre) – Solar w SGU,WA,0.47,Solar,2025,accredited,1,-31.89062779999999,115.816684
Concord Hospital,NSW,0.314,Solar,2025,accredited,1,-33.8371192,151.0941647
CQFMS,QLD,0.307,Solar,2025,accredited,1,-22.575197,144.0847926
Mirvac Switchyards Building 2,NSW,0.2,Solar,2025,accredited,1,-33.86255,151.207935
Seaford Central,SA,0.465,Solar,2025,accredited,1,-35.1892961,138.4791679
Stockland Rockhampton Shopping Centre,QLD,2.673,Solar,2025,accredited,1,-23.3544543,150.5224655
The Good Shepherd Home,QLD,0.314,Solar,2025,accredited,1,-19.3099296,146.7633243
Waverley Valley Care Community,VIC,0.15,Solar,2025,accredited,1,-37.869459,145.1589778
B&J Greenacre,NSW,0.4,Solar,2025,accredited,1,-33.9041635,151.072249
Bunnings Eastgardens,NSW,0.34,Solar,2025,accredited,1,-33.9491679,151.2247949
CH3059 Midwest Logistics Hub (INGH1),VIC,1.0,Solar,2025,accredited,1,-37.822881,144.7534421
"Macaulay Rd, Kensington",VIC,0.198,Solar,2025,accredited,1,-37.794511,144.9307387
MF Logistics Bvd,WA,0.781,Solar,2025,accredited,1,-32.0093962,115.9786633
Mirvac Switchyards Building 6,NSW,0.2,Solar,2025,accredited,1,-33.86255,151.207935
Oxley Grove Care Community,QLD,0.278,Solar,2025,accredited,1,-27.5782642,152.983536
Stubbo,NSW,520.393,Solar,2025,accredited,1,-32.2970664,149.5332444
123 Sippy Downs,QLD,0.2,Solar,2025,accredited,1,-26.7139704,153.0617915
Agile Energy,QLD,0.152,Solar,2025,accredited,1,-22.575197,144.0847926
Baked Provisions Sydney,NSW,0.2,Solar,2025,accredited,1,-33.9365718,150.8856378
Chadstone Freshfood,VIC,0.733,Solar,2025,accredited,1,-37.8810091,145.0959519
Mcdonald College,NSW,0.253,Solar,2025,accredited,1,-33.8584442,151.0866883
Moe Newborough,VIC,0.189,Solar,2025,accredited,1,-38.1774738,146.2594033
Nepean Hospital,NSW,0.52,Solar,2025,accredited,1,-33.7592973,150.7137103
PFI Darra,QLD,0.246,Solar,2025,accredited,1,-27.5757932,152.9560492
REMONDIS,NSW,0.551,Solar,2025,accredited,1,-31.2532183,146.921099
Story Fresh Produce,QLD,0.201,Solar,2025,accredited,1,-27.7134338,151.8781146
TIP TOP Carrara,QLD,0.221,Solar,2025,accredited,1,-28.0354868,153.3564211
Truganina,VIC,0.293,Solar,2025,accredited,1,-37.8248334,144.7486991
UPS SCS Australia,NSW,0.4,Solar,2025,accredited,1,-31.2532183,146.921099
Petstock DC Avalon,VIC,0.4,Solar,2025,accredited,1,-38.0190235,144.4834572
REMONDIS,SA,0.397,Solar,2025,accredited,1,-30.0002315,136.2091547
BAE Systems Edinburgh Parks,SA,0.162,Solar,2025,accredited,1,-34.738053,138.6332525
Latrobe Leisure Morwell,VIC,0.214,Solar,2025,accredited,1,-38.2332555,146.4051695
Acacia Ridge,QLD,0.444,Solar,2025,accredited,1,-27.5873761,153.0270551
GPE_LYKA WELLNESS,VIC,0.499,Solar,2025,accredited,1,-36.9847807,143.3906074
Greenlink 7,VIC,0.42,Solar,2025,accredited,1,-36.9847807,143.3906074
IBIS Care,NSW,0.323,Solar,2025,accredited,1,-33.9819652,151.1104994
Agile Energy,NSW,0.361,Solar,2025,accredited,1,-33.8666739,151.2096645
Cairns Colonial Club,QLD,0.208,Solar,2025,accredited,1,-16.9115466,145.7480236
CALABRIA FAMILY WINES PTY LTD,NSW,1.032,Solar,2025,accredited,1,-34.2769501,146.0286805
Pikes Wines Pty Ltd,SA,0.2,Solar,2025,accredited,1,-33.8873634,138.674942
Region Group Currambine,WA,1.48,Solar,2025,accredited,1,-31.7350917,115.7451643
Cubbie,QLD,3.44,Solar,2025,accredited,1,-22.575197,144.0847926
DHL Skyline,NSW,1.0,Solar,2025,accredited,1,-31.2532183,146.921099
Hendys Road Numurkah,VIC,6.162,Solar,2025,accredited,1,-36.0667307,145.4784347
Woolworths Golden Grove (The Stables) 5632,SA,0.2,Solar,2025,accredited,1,-34.7904698,138.6975102
Gregory Hills Hotel,NSW,0.2,Solar,2025,accredited,1,-34.0225391,150.7655018
Moyhall,SA,8.203,Solar,2025,accredited,1,-37.0326147,140.6661117
AU371,QLD,0.291,Solar,2025,accredited,1,-22.575197,144.0847926
Kerarbury Station Almond Orchard,NSW,6.004,Solar,2025,accredited,1,-34.5682529,145.9987084
Steel Building Systems,SA,0.2,Solar,2025,accredited,1,-30.0002315,136.2091547
Temperzone,NSW,0.36,Solar,2025,accredited,1,-32.9126676,151.7325452
Cowboys HQ,QLD,0.264,Solar,2025,accredited,1,-22.575197,144.0847926
DUX MANUFACTURING LIMITED,NSW,0.4,Solar,2025,accredited,1,-31.2532183,146.921099
GPT Highpoint DJ,VIC,0.47,Solar,2025,accredited,1,-37.77376539999999,144.8896643
Mercy Place Cairns,QLD,0.279,Solar,2025,accredited,1,-16.929982,145.7492566
Mirani Water Recycling Facility,QLD,0.17,Solar,2025,accredited,1,-21.1586195,148.8623419
OPAL Bankstown Terrace Care Community,NSW,0.239,Solar,2025,accredited,1,-33.9329353,151.02629
OPAL Berkeley Care Community,NSW,0.169,Solar,2025,accredited,1,-34.476942,150.838983
UCS Pakenham,VIC,0.177,Solar,2025,accredited,1,-38.0947162,145.470796
Armadale Shopping Centre 576kW,WA,0.576,Solar,2025,accredited,1,-32.1515645,116.0140386
Armadale Shopping Centre 700kW,WA,0.704,Solar,2025,accredited,1,-32.1515645,116.0140386
AU876 Rosehill Industrial Estate,NSW,0.764,Solar,2025,accredited,1,-33.828907,151.0292358
Mayfield Aged Care,NSW,0.192,Solar,2025,accredited,1,-32.8950287,151.7406396
Westrac Tomago,NSW,1.663,Solar,2025,accredited,1,-32.8235341,151.7517645
Wollar Solar Farm,NSW,346.248,Solar,2025,accredited,1,-32.407631,149.9407365
NEUMANN STEEL 1,QLD,1.517,Solar,2025,accredited,1,-28.1480302,153.4690662
St Gregory's College Hall,NSW,0.199,Solar,2025,accredited,1,-34.0396755,150.7871124
St Marys Sewage Treatment,NSW,1.7,Sewage Gas and Biomass-Based Components of Sewage,2025,accredited,1,-33.769979,150.7734575
Wentworthville Leagues Club Ltd,NSW,0.23,Solar,2025,accredited,1,-33.8072579,150.9692876
Wentworthville Leagues Club Ltd System 2,NSW,0.23,Solar,2025,accredited,1,-33.8072579,150.9692876
Westpork (Moora),WA,0.63,Agricultural Waste,2025,accredited,1,-30.4974591,115.8798905
Across The Waves Sports Club Bundaberg,QLD,0.45,Solar,2025,accredited,1,-24.890253,152.3469848
HomeCo Toowoomba,QLD,0.14,Solar,2025,accredited,1,-27.5979538,151.9504709
HomeCo Upper Coomera,QLD,0.23,Solar,2025,accredited,1,-27.8508866,153.2985409
PLASTIC SOLUTIONS,VIC,0.359,Solar,2025,accredited,1,-36.9847807,143.3906074
Clarke Creek Wind Farm,QLD,450.0,Wind,2025,accredited,1,-22.8504461,149.4532524
Big Dog Pet Foods,QLD,0.662,Solar,2025,accredited,1,-27.1955182,152.9994427
Doomadgee Solar Farm Stage 2,QLD,0.304,Solar,2025,accredited,1,-17.9399667,138.8292283
MOKOAN SOLAR FARM,VIC,57.803,Solar,2025,accredited,1,-36.4875195,146.1226338
Plainland,QLD,0.428,Solar,2025,accredited,1,-27.5679729,152.4220619
Homeco Tingalpa,QLD,0.204,Solar,2025,accredited,1,-27.4772349,153.1397085
Palmerston Golf & Country Club,NT,0.2,Solar,2025,accredited,1,-12.4803879,130.9758522
Tip Top Dry Creek,SA,0.918,Solar,2025,accredited,1,-34.840884,138.5914251
Woolworths Kingston 7003,TAS,0.338,Solar,2025,accredited,1,-42.9757956,147.3078991
Americold Hemmant 2,QLD,0.311,Solar,2025,accredited,1,-27.4445601,153.1170123
Brisbane Lions,QLD,0.799,Solar,2025,accredited,1,-22.575197,144.0847926
Cairns Aquarium,QLD,0.4,Solar,2025,accredited,1,-16.9184171,145.7738313
Clean Peak Energy,NSW,0.37,Solar,2025,accredited,1,-33.8363771,151.2077989
CSIRO,ACT,1.269,Solar,2025,accredited,1,-35.2770618,149.1447532
HomeCo Keysborough,VIC,0.152,Solar,2025,accredited,1,-37.99228340000001,145.1467055
STM Smeaton Grange – Solar w SGU – NSW,NSW,0.233,Solar,2025,accredited,1,-34.0390126,150.756853
The Big Banana Coffs Harbour,NSW,0.127,Solar,2025,accredited,1,-30.2748938,153.1337285
Uniting Farmborough,NSW,0.15,Solar,2025,accredited,1,-34.4563713,150.8296356
Synnex Australia,NSW,0.474,Solar,2025,accredited,1,-31.2532183,146.921099
Associated Grains Dalby,QLD,0.348,Solar,2025,accredited,1,-27.1836391,151.2309802
Clean Peak Energy,NSW,7.528,Solar,2025,accredited,1,-33.8363771,151.2077989
Kootingal Solar Farm,NSW,6.048,Solar,2025,accredited,1,-31.057358,151.0541094
IBIS,QLD,0.151,Solar,2025,accredited,1,-22.575197,144.0847926
Puopolo Smallgoods,VIC,0.309,Solar,2025,accredited,1,-37.8252276,144.7866402
Alsco Salisbury,QLD,0.3,Solar,2025,accredited,1,-27.5480816,153.0265229
Bunnings Penrith,NSW,0.37,Solar,2025,accredited,1,-33.7439249,150.6899808
Cherry Lane,VIC,0.42,Solar,2025,accredited,1,-37.8372157,144.7964256
Coolaroo,VIC,0.7,Solar,2025,accredited,1,-37.6612312,144.9370304
"CVAS, Clarenza",NSW,0.194,Solar,2025,accredited,1,-29.717931,152.9659068
DMK,WA,0.196,Solar,2025,accredited,1,-17.9520097,122.2434092
Macathur Square,NSW,4.542,Solar,2025,accredited,1,-34.0748527,150.7979477
Powerhouse Museum,NSW,0.801,Solar,2025,accredited,1,-33.878518,151.1995418
Region Group Kwinana 1,WA,1.191,Solar,2025,accredited,1,-32.2320792,115.7787256
Riverwood CCP,NSW,0.126,Solar,2025,accredited,1,-33.94538,151.0534022
Sydney City Toyota Waterloo,NSW,0.454,Solar,2025,accredited,1,-33.8998657,151.2108116
Timberjack 10 International Square,VIC,0.236,Solar,2025,accredited,1,-37.6950384,144.8696538
Timberjack 11 International Square,VIC,0.173,Solar,2025,accredited,1,-37.6950519,144.8706294
Timberjack Bliss Court Derrimut,VIC,0.62,Solar,2025,accredited,1,-37.8022288,144.7811265
Uppal Produce,VIC,0.15,Solar,2025,accredited,1,-36.4459892,145.2917087
Koorelah Farms,QLD,0.406,Solar,2025,accredited,1,-19.9871737,148.2173483
Woolworths Norwest Circa 1422,NSW,0.3,Solar,2025,accredited,1,-33.7316522,150.9665906
Ashburton Aboriginal Corporation,WA,0.727,Solar,2025,accredited,1,-20.4088832,118.5988562
Bunnings Nunawading,VIC,0.26,Solar,2025,accredited,1,-37.8192782,145.1668845
Eastern Creek,NSW,4.268,Landfill Gas,2025,accredited,1,-33.8102184,150.85064
Gunnedah 2A Solar Farm,NSW,6.048,Solar,2025,accredited,1,-30.97943189999999,150.2565037
Hemmant 1+3 Lineage Logistics,QLD,1.518,Solar,2025,accredited,1,-27.4455473,153.1258815
Raymond Terrace,NSW,0.222,Solar,2025,accredited,1,-32.7573408,151.748173
Scalabrini Griffith,NSW,0.22,Solar,2025,accredited,1,-34.3007412,146.0772835
Wambo Wind Farm Stage 1,QLD,252.0,Wind,2025,accredited,1,-26.6361785,151.2697887
Woolworths Merimbula 1250,NSW,0.366,Solar,2025,accredited,1,-36.8880702,149.9062981
SH LEASEHOLD PTY LTD,SA,0.198,Solar,2025,accredited,1,-30.0002315,136.2091547
GPE_DB Santasalo,NSW,0.532,Solar,2025,accredited,1,-31.2532183,146.921099
Kwinana WTE,WA,42.0,Biomass-Based Components of Municipal Solid Waste,2025,accredited,1,-32.2320792,115.7787256
Murrumbidgee,NSW,7.125,Solar,2025,accredited,1,-34.6513496,145.7578403
PCCS,NSW,0.18,Solar,2025,accredited,1,-31.2532183,146.921099
Region Group Kwinana 2,WA,1.19,Solar,2025,accredited,1,-32.2320792,115.7787256
Bunnings Mentone,VIC,0.18,Solar,2025,accredited,1,-37.976882,145.069535
Equinex SY9,NSW,0.49,Solar,2025,accredited,1,-31.2532183,146.921099
HomeCo Braybrook,VIC,0.14,Solar,2025,accredited,1,-37.7781337,144.8509028
HomeCo Bundall,QLD,0.33,Solar,2025,accredited,1,-28.0053912,153.412885
Bunnings Lawnton,QLD,0.16,Solar,2025,accredited,1,-27.288078,152.9853359
Omya Bajool,QLD,0.546,Solar,2025,accredited,1,-23.8102576,150.6475451
Bunnings Alexandria,NSW,0.456,Solar,2025,accredited,1,-33.9057744,151.1936904
"Chisholm Rd, Auburn",NSW,0.207,Solar,2025,accredited,1,-33.8637456,151.0185357
Hillwood Berries,QLD,0.268,Solar,2025,accredited,1,-24.745633,152.158959
Bunnings Hoppers Crossing,VIC,0.18,Solar,2025,accredited,1,-37.875053,144.7132612
Energy Bay,NSW,0.439,Solar,2025,accredited,1,-33.8658285,151.2122067
GPE SURYA ENTERPRISES GOLD COAST,VIC,0.199,Solar,2025,accredited,1,-27.9769248,153.380936
Greentech 7 Solar Farm & BESS,VIC,8.507,Solar,2025,accredited,1,-36.9847807,143.3906074
Minter Magic Packing Shed Iraak,VIC,0.2,Solar,2025,accredited,1,-34.4119394,142.3077203
Seventh,NSW,0.154,Solar,2025,accredited,1,-31.2532183,146.921099
Treeby Parklands Care Community,WA,0.23,Solar,2025,accredited,1,-32.1217002,115.8786468
Western Port Bay Care Community,VIC,0.2,Solar,2025,accredited,1,-38.263925,145.193554
Bunnings Ballarat,VIC,0.18,Solar,2025,accredited,1,-37.5916214,143.8076827
Goodman AU702 Axle West,NSW,0.655,Solar,2025,accredited,1,-34.8763449,150.5928931
Pillow Talk Darra – Solar wSGU – Qld,QLD,0.4,Solar,2025,accredited,1,-27.5644875,152.9621083
SOC Osborne Park,WA,0.3,Solar,2025,accredited,1,-31.903217,115.8185354
Temora 1C Solar Farm,NSW,6.121,Solar,2025,accredited,1,-34.4468114,147.533896
Harvey Norman Maroochydore Homemaker,QLD,0.454,Solar,2025,accredited,1,-26.6604162,153.0839286
Spreyton,TAS,0.174,Solar,2025,accredited,1,-41.2175876,146.3450276
AU254 M7 BH,NSW,0.438,Solar,2025,accredited,1,-33.8378399,150.8562268
House Power North Maroochydore Homemaker,QLD,0.203,Solar,2025,accredited,1,-26.4786425637165,152.9522215223456
House Power South Maroochydore Homemaker,QLD,0.187,Solar,2025,accredited,1,-26.59081200563836,152.8999991407861
Culcairn Solar Farm,NSW,439.869,Solar,2025,accredited,1,-35.7095923,146.9817606
Domayne Maroochydore Homemaker,QLD,0.203,Solar,2025,accredited,1,-26.6602963,153.0837537
GRAC,VIC,0.305,Solar,2025,accredited,1,-36.9847807,143.3906074
Greenlink 6,VIC,0.439,Solar,2025,accredited,1,-36.9847807,143.3906074
HomeCo Hawthorn East,VIC,0.2,Solar,2025,accredited,1,-37.8456763,145.0418097
Joyce Mayne Maroochydore Homemaker,QLD,0.187,Solar,2025,accredited,1,-26.6602963,153.0837537
Morgan Sawmill Dublin,SA,0.705,Solar,2025,accredited,1,-34.4756096,138.391561
Nhill Renewable Energy Facility,VIC,6.512,Solar,2025,accredited,1,-36.33278,141.6503408
Woolworths Eagle Vale 1091,NSW,0.338,Solar,2025,accredited,1,-34.0386678,150.8131919
Greenacres Joint Venture,SA,0.245,Solar,2025,accredited,1,-34.8695296,138.6278607
Moorebank,NSW,1.731,Solar,2025,accredited,1,-33.9343989,150.9347027
Redmud Green Energy 197 Pty Ltd,NSW,6.519,Solar,2025,accredited,1,-31.2532183,146.921099
Stanhope Leisure Centre,NSW,0.35,Solar,2025,accredited,1,-33.7195019,150.9213557
UA Mornington,TAS,0.21,Solar,2025,accredited,1,-42.85833299999999,147.403889
Harvey Norman Warragul,VIC,0.336,Solar,2025,accredited,1,-38.1673098,145.9510755
Goodman AU079 Greystanes Laminex,NSW,0.4,Solar,2025,accredited,1,-33.8126925,150.9215177
DW Coomera,QLD,0.709,Solar,2025,accredited,1,-27.846439,153.343953
Mackay Christian College Senior Campus,QLD,0.29,Solar,2025,accredited,1,-21.1424956,149.1821469
Team Medical Supplies,NSW,0.207,Solar,2025,accredited,1,-31.2532183,146.921099
Americold Hemmant 3,QLD,0.524,Solar,2025,accredited,1,-27.4445601,153.1170123
Brothers Sports Club,QLD,0.292,Solar,2025,accredited,1,-24.89116,152.3189313
Dungog WTP,NSW,0.301,Solar,2025,accredited,1,-32.4087375,151.7419586
Wollongong WRRF,NSW,0.246,Solar,2025,accredited,1,-34.4846167,150.8866852
Canally Microgrid,NSW,6.567,Solar,2025,accredited,1,-34.734699,143.352402
Coffs Harbour Grange Care Community,NSW,0.189,Solar,2025,accredited,1,-30.3063396,153.0924204
Munno Para Foodland,SA,1.18,Solar,2025,accredited,1,-34.68780539999999,138.687965
Tronox,NSW,10.713,Solar,2025,accredited,1,-31.2532183,146.921099
Elements of Byron,NSW,0.837,Solar,2025,accredited,1,-28.6258964,153.5869699
FABCOT Chermside,QLD,0.254,Solar,2025,accredited,1,-27.3858322,153.0310009
Altona Inlet Pump Station,VIC,0.226,Solar,2025,accredited,1,-37.8645245,144.8309509
Bunnings Keysborough,VIC,0.2,Solar,2025,accredited,1,-37.9898832,145.1469757
Ignatius Park College,QLD,0.29,Solar,2025,accredited,1,-19.3001636,146.7589341
Ambassador Industrial Pty Ltd,VIC,0.257,Solar,2025,accredited,1,-38.0150051,145.2622939
Dexus Dulux Dandenong,VIC,0.226,Solar,2025,accredited,1,-37.9847811,145.2139907
Harbourside Townsville,QLD,0.779,Solar,2025,accredited,1,-19.2687693,146.8333644
KQF Newheath Dr,QLD,0.536,Solar,2025,accredited,1,-27.9459382,153.3427432
Liuzzi 25 Eton St,VIC,0.275,Solar,2025,accredited,1,-37.5308071,143.8358074
Liuzzi 71 Gower St,VIC,0.4,Solar,2025,accredited,1,-37.743696,145.0246844
Mercy Community,QLD,0.853,Solar,2025,accredited,1,-27.3643436,153.0946502
Norther Airfield,VIC,11.278,Solar,2025,accredited,1,-36.9847807,143.3906074
Rose Farms,WA,0.2,Solar,2025,accredited,1,-27.6728168,121.6283098
Suprima Bakeries Pty Ltd,NSW,0.751,Solar,2025,accredited,1,-34.0408771,150.8397467
East Rockingham Resource Recovery Facility,WA,29.0,Biomass,2019,committed,1,-32.2546773,115.7653973
Mangalore Renewable Energy Project,VIC,5.0,Solar,2021,committed,1,-36.8978497,145.1619235
Orange Community Renewable Energy Park,NSW,5.0,Solar,2022,committed,1,-33.24778149999999,149.0549392
Moorebank Logistics Park,NSW,60.0,Solar,2022,committed,1,-33.9507233,150.9231708
Wangaratta Solar Farm,VIC,40.0,Solar,2023,committed,1,-36.3266146,146.3699862
Kidston Pumped Hydro Storage Project,QLD,250.0,Hydro,2023,committed,1,-18.889097,144.138785
New England Solar Farm,NSW,320.0,Solar,2023,committed,2,-31.2532183,146.921099
Bellevue Gold Hybrid Power Station,WA,24.0,Wind,2023,committed,1,-31.9503843,115.8391976
Glenellen solar project,NSW,200.0,Solar,2023,committed,1,-35.9272732,146.9091901
Forest Glen Solar Farm,NSW,90.0,Solar,2023,committed,1,-33.5431875,151.0267589
Uungula Wind Farm,NSW,414.0,Wind,2024,committed,1,-32.4919581,149.0942087
Munna Creek Solar Farm,QLD,150.0,Solar,2024,committed,1,-27.4659968,153.0306249
St Ives Gold Solar Farm,WA,77.0,Wind,2024,committed,1,-31.383931,121.817241
Gunsynd Solar Farm,QLD,94.0,Solar,2024,committed,1,-28.4024326,150.3648798
Aldoga Solar Farm,QLD,380.0,Solar,2024,committed,1,-23.8413848,151.2551924
Arnotts Huntingwood Solar Project,NSW,4.95,Solar,2024,committed,1,-33.79690739999999,150.8735036
Quorn Park Solar Hybrid,NSW,98.0,Solar,2024,committed,1,-31.2532183,146.921099
Golden Plains Wind Farm,VIC,574.0,Wind,2024,committed,2,-37.9472059,143.7506694
Lotus Creek Wind Farm,QLD,285.0,Wind,2024,committed,1,-22.4651317,149.1650414
Goorambat Solar Farm,VIC,250.0,Solar,2024,committed,1,-37.8103098,144.9676801
Hay Solar Farm,NSW,7.5,Solar,2024,committed,1,-34.512799,144.8664339
Broadsound Solar Farm,QLD,376.0,Solar,2024,committed,1,-21.240253,149.1486825
Boulder Creek Wind Farm,QLD,228.0,Wind,2024,committed,1,-23.6767552,150.3513992
Horsham Solar Farm,VIC,118.8,Solar,2024,committed,1,-36.7217049,142.2491668
